date,activeUsers,sessions,screenPageViews,newUsers
20260705,246,277,634,234
20260706,641,717,1628,611
20260707,433,482,1059,409
20260708,390,453,1072,364
20260709,503,569,1251,478
20260710,437,492,1041,409
20260711,475,504,682,462
20260712,422,450,779,412
20260713,434,512,1233,403
20260714,686,755,1556,664
20260715,411,475,944,380
20260716,394,461,1231,358
20260717,431,497,955,415
20260718,275,295,756,267
20260719,353,388,677,339
20260720,516,560,1255,489
20260721,357,415,1479,324
20260722,406,472,1186,385
20260723,593,676,1323,562
20260724,536,596,1071,514
20260725,297,330,694,278
20260726,369,417,1060,353
20260727,708,784,1351,682
20260728,509,582,846,476
20260729,643,695,1215,622
20260730,495,542,1354,477
20260731,458,513,827,434
20260801,393,424,962,380
