page,clicks,impressions,ctr,position
https://stats47.jp/ranking/mayonnaise-consumption-expenditure,74,1298,0.0570,6.66
https://stats47.jp/blog/noodle-consumption-prefecture-character,57,1324,0.0431,6.54
https://stats47.jp/blog/household-spending-prefecture-gap,53,761,0.0696,8.12
https://stats47.jp/blog/local-government-debt-burden,43,765,0.0562,7.32
https://stats47.jp/blog/farmland-crisis-abandoned-land,42,361,0.1163,6.66
https://stats47.jp/blog/convenience-store-density-map,39,1025,0.0380,8.18
https://stats47.jp/blog/childcare-friendly-prefecture-ranking,37,676,0.0547,6.60
https://stats47.jp/blog/health-life-expectancy-structure,36,1042,0.0345,9.05
https://stats47.jp/ranking/icecream-consumption-expenditure,32,458,0.0699,8.56
https://stats47.jp/blog/aging-solo-living-crisis,28,432,0.0648,7.56
https://stats47.jp/ranking/natto-consumption-expenditure,24,865,0.0277,8.86
https://stats47.jp/,23,299,0.0769,6.02
https://stats47.jp/blog/semiconductor-electronics-regional-map,23,421,0.0546,6.34
https://stats47.jp/ranking/pasta-consumption-quantity,20,314,0.0637,6.04
https://stats47.jp/blog/sports-urban-paradox,19,581,0.0327,7.56
https://stats47.jp/ranking/fresh-udon-soba-consumption-quantity,18,696,0.0259,8.93
https://stats47.jp/blog/automotive-industry-transformation-map,17,681,0.0250,6.47
https://stats47.jp/blog/chicken-consumption-prefecture-gap,17,229,0.0742,8.32
https://stats47.jp/ranking/pork-consumption-expenditure,16,218,0.0734,5.95
https://stats47.jp/ranking/sports-spectating-consumption-expenditure,16,125,0.1280,5.73
https://stats47.jp/ranking/vacant-housing-rate,16,7830,0.0020,8.93
https://stats47.jp/blog/assembly-answer-chatgpt-5steps,14,80,0.1750,8.45
https://stats47.jp/ranking/cake-consumption-expenditure,14,173,0.0809,7.18
https://stats47.jp/ranking/chicken-consumption-quantity,14,359,0.0390,8.11
https://stats47.jp/ranking/tuna-consumption-quantity,13,363,0.0358,7.90
https://stats47.jp/ranking/banana-consumption-quantity,12,235,0.0511,7.78
https://stats47.jp/ranking/beef-consumption-quantity,11,453,0.0243,6.91
https://stats47.jp/blog/sunshine-pacific-vs-nihonkai,10,548,0.0182,8.33
https://stats47.jp/ranking/elementary-school-children-count,10,333,0.0300,8.25
https://stats47.jp/ranking/retail-store-count,10,104,0.0962,5.25
https://stats47.jp/blog/fresh-udon-soba-consumption-prefecture-gap,9,298,0.0302,6.99
https://stats47.jp/blog/price-index-high-low-prefecture,9,535,0.0168,10.89
https://stats47.jp/ranking/garbage-total-output,9,341,0.0264,8.77
https://stats47.jp/blog/education-cost-per-child,8,69,0.1159,7.51
https://stats47.jp/blog/fiscal-self-reliance-gap,8,437,0.0183,8.65
https://stats47.jp/blog/prefectural-income-gdp-ranking,8,192,0.0417,8.78
https://stats47.jp/blog/sixth-industry-direct-sales,8,101,0.0792,7.02
https://stats47.jp/ranking/consumption-expenditure-multi-person-households-per-month,8,319,0.0251,6.99
https://stats47.jp/ranking/cut-flowers-consumption-expenditure,8,44,0.1818,6.93
https://stats47.jp/ranking/green-tea-consumption-quantity,8,150,0.0533,8.23
https://stats47.jp/ranking/konbu-consumption-expenditure,8,95,0.0842,6.36
https://stats47.jp/ranking/pickled-plum-consumption-quantity,8,175,0.0457,6.26
