page,clicks,impressions,ctr,position
https://stats47.jp/blog/local-government-debt-burden,292,3562,0.0820,6.44
https://stats47.jp/blog/noodle-consumption-prefecture-character,289,2514,0.1150,4.49
https://stats47.jp/ranking/natto-consumption-expenditure,253,6869,0.0368,5.73
https://stats47.jp/ranking/avg-height-high-school-2nd-male,186,6240,0.0298,7.24
https://stats47.jp/blog/childcare-friendly-prefecture-ranking,177,980,0.1806,4.55
https://stats47.jp/ranking/convenience-store-count-commercial,105,3496,0.0300,7.10
https://stats47.jp/blog/convenience-store-density-map,95,3180,0.0299,7.25
https://stats47.jp/blog/household-spending-prefecture-gap,79,723,0.1093,6.65
https://stats47.jp/blog/automotive-industry-transformation-map,76,1884,0.0403,6.21
https://stats47.jp/blog/konbu-consumption-prefecture-gap,70,1015,0.0690,5.48
https://stats47.jp/blog/bonito-catch-prefecture,54,2596,0.0208,6.38
https://stats47.jp/,49,780,0.0628,6.32
https://stats47.jp/ranking/dual-income-household-ratio,49,811,0.0604,7.06
https://stats47.jp/ranking/grilled-eel-consumption-expenditure,46,1105,0.0416,5.79
https://stats47.jp/blog/chicken-consumption-quantity,45,1311,0.0343,6.34
https://stats47.jp/ranking/pork-consumption-quantity,45,1424,0.0316,7.05
https://stats47.jp/ranking/cup-noodles-consumption-expenditure,43,521,0.0825,4.96
https://stats47.jp/blog/wheat-flour-consumption-prefecture,41,698,0.0587,6.10
https://stats47.jp/ranking/icecream-consumption-expenditure,41,711,0.0577,8.15
https://stats47.jp/blog/engel-coefficient-prefecture-ranking,38,368,0.1033,5.61
https://stats47.jp/blog/foreign-residents-diversity-map,35,1750,0.0200,8.21
https://stats47.jp/blog/livable-prefecture-composite-ranking,34,1553,0.0219,10.45
https://stats47.jp/blog/semiconductor-electronics-regional-map,30,720,0.0417,6.28
https://stats47.jp/ranking/cut-flowers-consumption-expenditure,30,156,0.1923,4.27
https://stats47.jp/ranking/rice-consumption-quantity,29,430,0.0674,7.22
