url,verdict,coverageState,indexingState,robotsTxtState,lastCrawlTime,pageFetchState,googleCanonical,userCanonical,crawledAs,referringUrls
https://stats47.jp/blog/health-life-expectancy-structure,PASS,送信して登録されました,INDEXING_ALLOWED,ALLOWED,2026-05-04T15:03:27Z,SUCCESSFUL,https://stats47.jp/blog/health-life-expectancy-structure,https://stats47.jp/blog/health-life-expectancy-structure,MOBILE,1
https://stats47.jp/blog/price-index-high-low-prefecture,PASS,送信して登録されました,INDEXING_ALLOWED,ALLOWED,2026-05-09T12:10:42Z,SUCCESSFUL,https://stats47.jp/blog/price-index-high-low-prefecture,https://stats47.jp/blog/price-index-high-low-prefecture,MOBILE,0
https://stats47.jp/ranking/wheat-flour-consumption-quantity,PASS,送信して登録されました,INDEXING_ALLOWED,ALLOWED,2026-05-01T16:12:44Z,SUCCESSFUL,https://stats47.jp/ranking/wheat-flour-consumption-quantity,https://stats47.jp/ranking/wheat-flour-consumption-quantity,MOBILE,0
https://stats47.jp/blog/temperature-extremes-map,PASS,送信して登録されました,INDEXING_ALLOWED,ALLOWED,2026-05-02T07:39:40Z,SUCCESSFUL,https://stats47.jp/blog/temperature-extremes-map,https://stats47.jp/blog/temperature-extremes-map,MOBILE,0
https://stats47.jp/ranking/wheat-flour-consumption-expenditure,PASS,送信して登録されました,INDEXING_ALLOWED,ALLOWED,2026-05-03T07:03:56Z,SUCCESSFUL,https://stats47.jp/ranking/wheat-flour-consumption-expenditure,https://stats47.jp/ranking/wheat-flour-consumption-expenditure,MOBILE,1
https://stats47.jp/blog/child-height-regional-gap,PASS,送信して登録されました,INDEXING_ALLOWED,ALLOWED,2026-05-08T21:37:09Z,SUCCESSFUL,https://stats47.jp/blog/child-height-regional-gap,https://stats47.jp/blog/child-height-regional-gap,MOBILE,0
https://stats47.jp/blog/habitable-area-land-use,PASS,送信して登録されました,INDEXING_ALLOWED,ALLOWED,2026-04-28T17:24:32Z,SUCCESSFUL,https://stats47.jp/blog/habitable-area-land-use,https://stats47.jp/blog/habitable-area-land-use,MOBILE,0
https://stats47.jp/blog/university-advancement-capacity,PASS,送信して登録されました,INDEXING_ALLOWED,ALLOWED,2026-05-09T11:27:55Z,SUCCESSFUL,https://stats47.jp/blog/university-advancement-capacity,https://stats47.jp/blog/university-advancement-capacity,MOBILE,0
https://stats47.jp/blog/fiscal-self-reliance-gap,PASS,送信して登録されました,INDEXING_ALLOWED,ALLOWED,2026-05-05T23:02:04Z,SUCCESSFUL,https://stats47.jp/blog/fiscal-self-reliance-gap,https://stats47.jp/blog/fiscal-self-reliance-gap,MOBILE,0
https://stats47.jp/blog/manufacturing-aichi-dominance,PASS,送信して登録されました,INDEXING_ALLOWED,ALLOWED,2026-05-09T02:54:21Z,SUCCESSFUL,https://stats47.jp/blog/manufacturing-aichi-dominance,https://stats47.jp/blog/manufacturing-aichi-dominance,MOBILE,0
