page,clicks,impressions,ctr,position
https://stats47.jp/blog/health-life-expectancy-structure,54,1165,0.0464,7.98
https://stats47.jp/blog/price-index-high-low-prefecture,20,1117,0.0179,8.47
https://stats47.jp/,18,44,0.4091,5.70
https://stats47.jp/blog/local-government-debt-burden,15,231,0.0649,8.55
https://stats47.jp/blog/temperature-extremes-map,14,1011,0.0138,9.07
https://stats47.jp/ranking/pasta-consumption-quantity,12,181,0.0663,6.28
https://stats47.jp/ranking/konbu-consumption-quantity,11,197,0.0558,7.20
https://stats47.jp/blog/fiscal-self-reliance-gap,10,396,0.0253,8.98
https://stats47.jp/blog/household-spending-prefecture-gap,10,243,0.0412,7.67
https://stats47.jp/blog/engel-coefficient-prefecture-ranking,9,83,0.1084,5.96
https://stats47.jp/blog/university-advancement-capacity,9,382,0.0236,11.33
https://stats47.jp/blog/child-height-regional-gap,8,921,0.0087,11.44
https://stats47.jp/ranking/tuna-consumption-quantity,8,226,0.0354,8.83
https://stats47.jp/ranking/wheat-flour-consumption-quantity,8,1031,0.0078,6.33
https://stats47.jp/blog/sports-urban-paradox,7,126,0.0556,8.25
https://stats47.jp/ranking/chicken-consumption-quantity,7,133,0.0526,7.48
https://stats47.jp/ranking/hamburger-consumption-expenditure,7,72,0.0972,7.46
https://stats47.jp/ranking/sports-spectating-consumption-expenditure,7,31,0.2258,5.90
https://stats47.jp/ranking/wheat-flour-consumption-expenditure,7,948,0.0074,7.41
https://stats47.jp/blog/semiconductor-electronics-regional-map,6,110,0.0545,6.95
https://stats47.jp/ranking/fresh-udon-soba-consumption-quantity,6,194,0.0309,7.89
https://stats47.jp/ranking/sushi-dining-consumption-expenditure,6,89,0.0674,7.18
https://stats47.jp/blog/library-museum-cultural-capital,5,36,0.1389,7.53
https://stats47.jp/blog/park-green-space-gap,5,284,0.0176,7.88
https://stats47.jp/blog/prefectural-income-gdp-ranking,5,220,0.0227,8.95
https://stats47.jp/ranking/cup-noodles-consumption-quantity,5,108,0.0463,7.93
https://stats47.jp/ranking/telework-rate,5,34,0.1471,6.03
https://stats47.jp/ranking/toilet-paper-consumption-expenditure,5,48,0.1042,5.92
https://stats47.jp/blog/convenience-store-density-map,4,121,0.0331,6.39
https://stats47.jp/blog/gasoline-car-society-map,4,62,0.0645,6.31
https://stats47.jp/blog/highschool-starting-salary-gap,4,230,0.0174,7.83
https://stats47.jp/ranking/avg-height-high-school-2nd-male,4,75,0.0533,9.03
https://stats47.jp/ranking/banana-consumption-quantity,4,88,0.0455,8.70
https://stats47.jp/ranking/coffee-consumption-expenditure,4,60,0.0667,9.73
https://stats47.jp/ranking/consumption-expenditure-multi-person-households-per-month,4,80,0.0500,8.64
https://stats47.jp/ranking/convenience-store-count-commercial,4,62,0.0645,10.61
https://stats47.jp/ranking/gardening-supplies-consumption-expenditure,4,7,0.5714,5.14
https://stats47.jp/ranking/gasoline-consumption-quantity,4,45,0.0889,6.13
https://stats47.jp/ranking/mochi-consumption-expenditure,4,30,0.1333,7.70
https://stats47.jp/ranking/pork-consumption-quantity,4,144,0.0278,7.25
https://stats47.jp/ranking/potato-consumption-quantity,4,107,0.0374,6.83
https://stats47.jp/ranking/soba-udon-dining-consumption-expenditure,4,94,0.0426,8.71
https://stats47.jp/blog/alcohol-prefecture-map,3,126,0.0238,7.67
https://stats47.jp/blog/automotive-industry-transformation-map,3,187,0.0160,6.86
https://stats47.jp/blog/birth-rate-fertility-ranking,3,128,0.0234,7.85
https://stats47.jp/blog/farmland-crisis-abandoned-land,3,31,0.0968,6.74
https://stats47.jp/blog/food-consumption-prefecture-battle,3,71,0.0423,7.90
https://stats47.jp/blog/food-trio-prefecture-map,3,110,0.0273,7.94
https://stats47.jp/blog/hospital-bed-utilization-map,3,30,0.1000,5.90
https://stats47.jp/blog/household-structure-transformation,3,82,0.0366,7.60
https://stats47.jp/blog/inflation-rate-prefecture-gap,3,95,0.0316,7.19
https://stats47.jp/blog/local-tax-revenue-gap,3,103,0.0291,8.88
https://stats47.jp/blog/nursing-care-shortage-2040,3,81,0.0370,11.15
https://stats47.jp/blog/pharma-medical-device-production-map,3,97,0.0309,7.12
https://stats47.jp/blog/pollution-complaints-regional-map,3,103,0.0291,8.30
https://stats47.jp/blog/population-density-urbanization,3,161,0.0186,14.60
https://stats47.jp/blog/prefectural-debt-future-burden,3,11,0.2727,4.73
https://stats47.jp/blog/purchasing-power-adjusted,3,75,0.0400,11.39
https://stats47.jp/blog/road-infrastructure-density,3,97,0.0309,5.87
https://stats47.jp/blog/telework-gap-tokyo-6x,3,37,0.0811,4.51
https://stats47.jp/ranking/bean-sprouts-consumption-quantity,3,27,0.1111,6.11
https://stats47.jp/ranking/broccoli-consumption-quantity,3,52,0.0577,5.65
https://stats47.jp/ranking/candy-consumption-expenditure,3,10,0.3000,7.70
https://stats47.jp/ranking/cheese-consumption-quantity,3,39,0.0769,6.36
