pagePath,screenPageViews,activeUsers,averageSessionDuration,engagementRate
/,875,362,71.939450569739947,0.56737588652482274
/search,833,84,122.63035801980197,0.94059405940594054
/ranking,406,186,47.799745126984128,0.51322751322751325
/ranking/annual-sunshine-duration,259,131,83.335843812949634,0.82014388489208634
/category/population,187,38,84.47429713157895,1
/compare/landweather,187,108,6.7214916697247711,0.33027522935779818
/blog/health-life-expectancy-structure,173,132,111.53110978723404,0.71631205673758869
/category/laborwage,172,32,65.980862571428574,0.97142857142857142
/ranking/total-population,170,118,8.2483763898305078,0.2711864406779661
/areas,167,116,12.43371594871795,0.28205128205128205
/ranking/public-phone-count,156,111,202.53990683050847,0.70338983050847459
/category/landweather,152,33,70.5265862,0.94285714285714284
/category/agriculture,149,24,83.237711400000009,1
/blog,147,84,29.318868808988764,0.3595505617977528
/category/economy,144,34,87.296381352941182,0.82352941176470584
/category/educationsports,136,28,95.501658571428578,1
/category/commercial,130,24,71.255253583333328,1
/blog/foreign-residents-diversity-map,118,94,198.0029353125,0.6785714285714286
/category/energy,104,21,49.830388454545457,1
/blog/noodle-consumption-prefecture-character,97,83,63.543628906976735,0.41860465116279072
/category/tourism,96,17,52.232271941176471,1
/ranking/beef-consumption-quantity,95,51,164.57032785714287,0.58730158730158732
/category/socialsecurity,90,13,66.864847923076923,1
/ranking/annual-clear-days,90,61,75.138990460317459,0.76190476190476186
/areas/01000,86,86,0.12801574418604653,0.011627906976744186
/survey/kakei-chousa,83,33,87.06389694736842,0.78947368421052633
/category/safetyenvironment,80,15,65.19041982352941,0.88235294117647056
/blog/household-spending-prefecture-gap,79,60,122.9585242923077,0.75384615384615383
/blog/temperature-extremes-map,77,65,74.6708263150685,0.67123287671232879
/areas/01000/economy,75,86,2.0395380581395348,0
/blog/fiscal-self-reliance-gap,75,48,124.69838380769231,0.63461538461538458
/ranking/fiscal-strength-index-prefecture,75,41,75.25670680952382,0.9285714285714286
/ranking/pasta-consumption-quantity,68,15,141.75832693750002,0.75
/ranking/convenience-store-count-commercial,63,19,172.06986186363636,0.95454545454545459
/ranking/future-population-change-rate-2050,63,25,37.688663999999996,0.96
/ranking/green-tea-consumption-expenditure,63,2,258.8238805,0.6
/ranking/tuna-consumption-quantity,62,25,94.772034925925922,0.62962962962962965
/blog/convenience-store-density-map,60,53,101.56959446031746,0.60317460317460314
/blog/price-index-high-low-prefecture,60,47,106.43884916,0.7
/themes/local-finance,60,3,232.15207333333333,1
/ranking/shumai-consumption-expenditure,58,4,337.09489175,1
/areas/01000/population,57,57,3.2534375964912279,0
/ranking/agricultural-output,57,26,37.193472384615383,0.88461538461538458
/ranking/consumption-expenditure-multi-person-households-per-month,56,30,27.71945603125,0.75
/themes,54,17,44.838807882352938,1
/category/administrativefinancial,53,16,52.2791601875,0.9375
/category/ict,52,14,79.717543571428564,1
/ranking/chicken-consumption-quantity,52,25,92.227697461538455,0.69230769230769229
/ranking/onion-consumption-quantity,52,4,169.39689375,0.75
/blog/marriage-unmarried-crisis,49,34,353.36344397222223,0.83333333333333337
/blog/farmland-crisis-abandoned-land,48,40,160.69363546666665,0.68888888888888888
/compare,47,118,8.4463039237288129,0.32203389830508472
/category/construction,44,14,136.55013429411764,0.82352941176470584
/ranking/fresh-udon-soba-consumption-quantity,44,26,102.27295714814815,0.7407407407407407
/ranking/university-capacity-index,44,5,158.4578132,1
/blog/child-height-regional-gap,43,34,35.261699888888892,0.61111111111111116
/blog/university-advancement-capacity,43,28,138.4530756111111,0.52777777777777779
/ranking/annual-precipitation,43,18,283.06008457142855,0.7142857142857143
/category/international,42,13,56.552478615384615,1
/ranking/sports-spectating-consumption-expenditure,42,17,201.436178,0.75
/ranking/umbrella-consumption-quantity,42,2,307.14103733333337,0.88888888888888884
/ranking/bacon-consumption-quantity,41,5,873.1246165,0.875
/blog/local-government-debt-burden,40,31,74.55413748387096,0.77419354838709675
/blog/semiconductor-electronics-regional-map,40,23,215.67204668965519,0.62068965517241381
/ranking/coffee-consumption-quantity,37,13,182.61350853333334,0.8666666666666667
/blog/precipitation-snow-regional-gap,34,27,107.89633863333333,0.6333333333333333
/ranking/abandoned-cultivated-land-area,34,8,66.656744400000008,0.8
/blog/sports-urban-paradox,33,21,148.134294375,0.58333333333333337
/category/infrastructure,33,11,217.94879218181816,1
/this-page-does-not-exist-at-all,32,63,0.0056663174603174609,0
/blog/highschool-starting-salary-gap,31,16,174.10799417647058,0.88235294117647056
/ranking/annual-cloudy-days,31,21,77.482736545454543,0.95454545454545459
/ranking/starting-salary-highschool,31,14,21.626254533333334,0.93333333333333335
/ranking/general-hospital-bed-occupancy-rate,30,29,124.31168516666666,0.6
/ranking/konbu-consumption-quantity,30,14,43.865924571428572,0.8571428571428571
/ranking/real-public-debt-service-ratio,30,14,72.174967866666677,0.66666666666666663
/blog/hospital-bed-utilization-map,29,26,37.731035103448278,0.51724137931034486
/ranking/pork-consumption-quantity,29,14,113.6882995,0.65
/ranking/retirement-allowance-admin-prefecture,29,10,41.4559862,1
/blog/sixth-industry-direct-sales,28,23,64.858471038461531,0.73076923076923073
/about,27,12,35.642689642857142,0.9285714285714286
/ranking/elementary-school-children-count,27,12,241.02246053333332,0.73333333333333328
/ranking/pickled-plum-consumption-expenditure,27,7,111.62822228571429,0.5714285714285714
/ranking/total-fertility-rate,27,18,91.15018400000001,0.5714285714285714
/ranking/university-count-per-100k,27,15,39.017278111111111,0.66666666666666663
/ranking/yogurt-consumption-expenditure,27,9,431.57356360000006,0.8
/blog/waiting-children-progress,26,13,371.83245485,0.75
/ranking/actual-income-worker-households-per-month,26,9,130.66801683333333,0.75
/ranking/agricultural-farm-count,26,6,30.949668285714289,1
/blog/livable-prefecture-composite-ranking,25,22,205.61713782608695,0.95652173913043481
/blog/suicide-rate-aging-nexus,25,18,91.678309111111119,0.48148148148148145
/ranking/manufacturing-shipment-amount,25,13,216.20473542857144,0.6428571428571429
/blog/automotive-industry-transformation-map,24,22,68.03371295652174,0.43478260869565216
/blog/household-solo-vs-dualincome,24,19,301.585951,0.65384615384615385
/blog/population-density-urbanization,24,20,50.6510835652174,0.52173913043478259
/category/miningindustry,24,5,59.30886,1
/ranking/real-disposable-income,24,15,149.06840474999998,0.75
/blog/food-trio-prefecture-map,23,19,28.757657368421057,0.57894736842105265
/compare/population,23,5,273.4088132857143,0.5714285714285714
/areas/27000,22,6,44.297245666666669,1
/blog/alcohol-prefecture-map,22,13,238.89588530769231,0.92307692307692313
/ranking/maximum-temperature,22,9,49.176226555555559,1
/ranking/natto-consumption-expenditure,22,17,59.527883,0.5
/ranking/peach-consumption-quantity,22,6,145.93000314285715,0.8571428571428571
/ranking/total-farm-household-income,22,7,16.085746,0.77777777777777779
/ranking/umbrella-consumption-expenditure,22,3,168.38437389999999,0.8
/blog/sunshine-pacific-vs-nihonkai,21,15,289.19634573333332,0.73333333333333328
/ranking/fish-catch,21,5,121.9237135,0.83333333333333337
/ranking/soba-udon-dining-consumption-expenditure,21,12,24.016361538461538,0.53846153846153844
/blog/food-spending-pattern,20,17,76.024112954545458,0.5
/ranking/candy-consumption-expenditure,20,2,59.6040065,1
/ranking/cup-noodles-consumption-quantity,20,15,148.39184475000002,0.8125
/survey/police-statistics,20,4,55.5872965,1
/blog/childcare-friendly-prefecture-ranking,19,14,90.54879757142858,0.9285714285714286
/ranking/average-temperature,19,6,34.602303166666665,0.83333333333333337
/ranking/deaths-hypertensive-diseases,19,2,26.9672,1
/ranking/senility-death-count,19,5,19.270016599999998,1
/ranking/sushi-dining-consumption-expenditure,19,14,49.080477266666669,0.73333333333333328
/blog/education-expenses-gap,18,13,115.4971134375,0.8125
/ranking/avg-salary-all-prefecture,18,1,633.801416,1
/ranking/croquette-consumption-expenditure,18,8,302.11432455555558,1
/ranking/cultivated-area,18,6,47.410796333333337,0.83333333333333337
/ranking/mochi-consumption-quantity,18,8,442.780636,0.77777777777777779
/ranking/telework-rate,18,9,67.967777636363635,0.54545454545454541
/ranking/theft-offenses-recognized,18,5,25.4000608,0.8
/ranking/tomato-consumption-quantity,18,5,271.74558477777776,0.55555555555555558
/blog/aging-solo-living-crisis,17,16,226.62902341176471,0.58823529411764708
/blog/manufacturing-aichi-dominance,17,17,217.82528695000002,0.65
/ranking/consumer-price-difference-index-overall,17,5,344.018501375,1
/ranking/current-balance-ratio,17,9,32.464513222222223,1
