stats_data_id,cat01,item_name,item_code,unit,dividing_value,new_unit,ascending
0000010204,#D0110101,財政力指数（都道府県財政）,financial-power-index,‐,,,False
0000010204,#D01102,実質収支比率（都道府県財政）,real-balance-ratio,％,,,False
0000010204,#D0120101,自主財源の割合（都道府県財政）,self-financing-ratio,％,,,False
0000010204,#D0130201,地方債現在高の割合（都道府県財政）,local-debt-current-ratio,％,,,False
0000010204,#D01401,経常収支比率（都道府県財政）,current-balance-ratio,％,,,False
0000010204,#D0140201,投資的経費の割合（都道府県財政）,investment-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0140301,一般財源の割合（都道府県財政）,general-revenue-ratio-pref-finance,％,,,False
0000010204,#D0210101,地方税割合（都道府県財政）,local-tax-ratio-pref-finance,％,,,False
0000010204,#D0210201,地方交付税割合（都道府県財政）,local-allocation-tax-ratio-pref-finance,％,,,False
0000010204,#D0210301,国庫支出金割合（都道府県財政）,national-treasury-disbursement-ratio-pref-finance,％,,,False
0000010204,#D0220103,人口1人当たり住民税（都道府県・市町村財政合計）,per-capita-inhabitant-tax-pref-municipal,千円,,,False
0000010204,#D02202,人口1人当たり固定資産税（都道府県・市町村財政合計）,per-capita-fixed-asset-tax-pref-municipal,千円,,,False
0000010204,#D02204,国税徴収決定済額（人口1人当たり）,per-capita-national-tax-collected,千円,,,False
0000010204,#D02206,課税対象所得（納税義務者1人当たり）,per-taxpayer-taxable-income,千円,,,False
0000010204,#D02207,納税義務者割合（都道府県民1人当たり）,taxpayer-ratio-per-pref-resident,％,,,False
0000010204,#D0310301,民生費割合（都道府県財政）,welfare-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0310401,社会福祉費割合（都道府県財政）,social-welfare-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0310501,老人福祉費割合（都道府県財政）,elderly-welfare-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0310601,児童福祉費割合（都道府県財政）,child-welfare-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0310701,生活保護費割合（都道府県財政）,public-assistance-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0310801,衛生費割合（都道府県財政）,sanitation-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0310901,労働費割合（都道府県財政）,labor-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0311001,農林水産業費割合（都道府県財政）,agriculture-forestry-fisheries-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0311101,商工費割合（都道府県財政）,commerce-industry-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0311201,土木費割合（都道府県財政）,public-works-expenditure-ratio-pref-finance,％,,,False
0000010204,#D03113,警察費割合（都道府県財政）,police-expenditure-ratio-pref-finance,％,,,False
0000010204,#D03114,消防費割合（都・市町村財政合計）,firefighting-expenditure-ratio-pref-municipal,％,,,False
0000010204,#D0311501,教育費割合（都道府県財政）,education-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0312301,災害復旧費割合（都道府県財政）,disaster-recovery-expenditure-ratio-pref-finance,％,,,False
0000010204,#D0320101,人件費割合（都道府県財政）,personnel-expenditure-ratio-pref-finance,％,,,False
