pagePath,screenPageViews,activeUsers,averageSessionDuration,engagementRate
/,894,351,110.15861875463918,0.72783505154639172
/blog/local-government-debt-burden,813,573,130.36609621546054,0.80427631578947367
/ranking/natto-consumption-expenditure,710,438,176.56527323340472,0.6723768736616702
/blog/noodle-consumption-prefecture-character,589,420,147.18633820576133,0.61111111111111116
/search,563,83,183.98824990825688,0.963302752293578
/category/economy,561,76,110.2102508095238,0.97619047619047616
/ranking,426,157,49.887918799999994,0.84848484848484851
/areas,402,118,23.01098225,0.96875
/ranking/convenience-store-count-commercial,391,180,194.31721455450236,0.69194312796208535
/ranking/avg-height-high-school-2nd-male,319,259,86.771516654804273,0.701067615658363
/blog/childcare-friendly-prefecture-ranking,278,229,133.9519913870968,0.77822580645161288
/ranking/annual-sunshine-duration,278,158,151.75186292063492,0.7142857142857143
/ranking/beef-consumption-quantity,278,62,67.567820681159418,0.81159420289855078
/themes/local-finance,248,40,237.71895683333332,0.7857142857142857
/ranking/owner-occupied-housing-ratio,245,207,139.08097463362068,0.771551724137931
/blog/household-spending-prefecture-gap,241,161,119.45806400555556,0.83888888888888891
/category/educationsports,239,40,165.23673394230767,0.92307692307692313
/ranking/voluntary-car-insurance-rate-bodily-injury,236,184,71.954843015544043,0.70466321243523311
/ranking/pork-consumption-quantity,232,98,192.3625375089286,0.7857142857142857
/blog/automotive-industry-transformation-map,218,151,183.50337162827225,0.66492146596858637
/blog/health-life-expectancy-structure,216,163,95.7990248983051,0.78531073446327682
/ranking/rice-consumption-quantity,216,92,126.43749645544555,0.70297029702970293
/municipalities/ranking/manufacturing-shipment-amount,201,17,94.256305636363635,0.63636363636363635
/ranking/icecream-consumption-expenditure,195,114,125.81182931205673,0.5957446808510638
/blog/convenience-store-density-map,192,154,75.796960670658677,0.6347305389221557
/blog/livable-prefecture-composite-ranking,186,161,122.59619699411763,0.85882352941176465
/category/landweather,180,37,98.146781743589742,0.97435897435897434
/category/population,179,45,126.66544233333333,0.92156862745098034
/ranking/real-public-debt-service-ratio,178,124,81.114234870229012,0.8854961832061069
/ranking/real-disposable-income,161,94,123.07579471698112,0.70754716981132071
/ranking/local-debt-current-ratio,146,72,53.781569594594586,0.94594594594594594
/blog,144,38,41.503370883720933,0.97674418604651159
/ranking/grilled-eel-consumption-expenditure,141,86,95.771461577777785,0.65555555555555556
/ranking/dual-income-household-ratio,135,78,106.85637739130435,0.75
/ranking/local-allocation-tax-prefecture,132,64,131.49015598507464,0.71641791044776115
/blog/konbu-consumption-prefecture-gap,128,101,97.171875810344829,0.57758620689655171
/ranking/consumption-expenditure-multi-person-households-per-month,126,51,111.54411526785715,0.8928571428571429
/ranking/coffee-consumption-quantity,125,43,115.53189903921569,0.76470588235294112
/ranking/future-burden-ratio,124,60,122.14715166129034,0.90322580645161288
/ranking/fresh-udon-soba-consumption-quantity,117,34,133.84176952777776,0.83333333333333337
/ranking/treatment-rate-hypertension-outpatient,113,34,150.05398102083333,0.64583333333333337
