date,activeUsers,sessions,screenPageViews,newUsers
20260719,353,388,677,339
20260720,516,560,1255,489
20260721,357,415,1479,324
20260722,406,472,1186,385
20260723,593,676,1323,562
20260724,536,596,1071,514
20260725,297,330,694,278
20260726,369,417,1060,353
20260727,708,784,1351,682
20260728,509,582,846,476
20260729,643,695,1215,622
20260730,495,542,1354,477
20260731,458,513,827,434
20260801,393,424,962,380
20260802,473,507,792,454
20260803,686,747,1767,666
20260804,972,1025,1796,944
20260805,550,600,1024,529
20260806,814,873,1217,794
20260807,493,538,952,468
20260808,275,302,571,260
20260809,244,263,435,228
20260810,329,360,642,310
20260811,277,312,839,255
20260812,363,409,968,350
20260813,352,394,737,333
20260814,434,472,852,410
20260815,371,423,1097,350
