pagePath,nav_surface,nav_label,eventCount
/areas/33000/occupation-salary,theme_kpi_switcher,school-teacher-annual-income,3
/areas/47000/fishery-marine,theme_kpi_switcher,fishery-workers,3
/areas/03000/foreign-residents,theme_kpi_switcher,foreign-resident-count,2
/areas/47000/fishery-marine,theme_kpi_switcher,marine-fishery-aquaculture-output-value,2
/areas/03000/foreign-residents,theme_kpi_switcher,foreign-resident-count-china-per-100k,1
/areas/03000/foreign-residents,theme_kpi_switcher,foreign-resident-count-korea-per-100k,1
/areas/04000/manufacturing,theme_kpi_switcher,manufacturing-employees,1
/areas/04000/manufacturing,theme_kpi_switcher,manufacturing-establishments,1
/areas/08000/local-economy,theme_kpi_switcher,active-job-opening-ratio,1
/areas/08000/local-economy,theme_kpi_switcher,minimum-wage-by-region,1
/areas/08000/local-economy,theme_kpi_switcher,per-capita-prefectural-income-h27,1
/areas/08000/local-economy,theme_kpi_switcher,unemployment-rate,1
/areas/28000/climate,theme_kpi_switcher,annual-clear-days,1
/areas/28000/climate,theme_kpi_switcher,annual-precipitation,1
/areas/28000/climate,theme_kpi_switcher,annual-sunshine-duration,1
/areas/28000/climate,theme_kpi_switcher,average-temperature,1
/areas/33000/local-finance,theme_kpi_switcher,real-public-debt-service-ratio,1
/areas/36000/healthcare,theme_kpi_switcher,deaths-lifestyle-diseases-per-100k,1
/areas/36000/healthcare,theme_kpi_switcher,health-checkup-rate-lifestyle-diseases,1
/areas/36000/healthcare,theme_kpi_switcher,nurses-in-medical-facilities-per-100k,1
/areas/36000/healthcare,theme_kpi_switcher,physicians-in-medical-facilities-per-100k,1
/areas/47000/fishery-marine,theme_kpi_switcher,aquaculture-harvest,1
/themes/climate,theme_kpi_switcher,average-temperature,1
/themes/consumer-prices,theme_kpi_switcher,consumer-price-difference-index-food,1
/themes/healthcare,theme_kpi_switcher,deaths-lifestyle-diseases-per-100k,1
