date,activeUsers,sessions,screenPageViews,newUsers
20260531,142,167,521,135
20260601,324,373,657,310
20260602,315,349,611,299
20260603,309,344,907,293
20260604,388,445,1148,374
20260605,316,364,877,300
20260606,216,229,341,211
20260607,293,326,603,284
20260608,377,420,698,357
20260609,300,364,754,282
20260610,273,318,616,251
20260611,285,323,824,267
20260612,454,509,1042,440
20260613,201,221,416,194
20260614,249,273,549,242
20260615,348,406,1002,324
20260616,299,354,964,283
20260617,311,352,841,288
20260618,340,389,717,330
20260619,316,358,648,258
20260620,210,226,370,202
20260621,158,169,248,152
20260622,371,409,707,350
20260623,289,330,663,276
20260624,290,335,774,270
20260625,265,308,569,252
20260626,254,291,500,239
20260627,158,181,310,148
